Solution,Query,1,2,3,4,5,6,7,8,9,10,11,12
Chrontext Optimized,Production Grouped 1,1.211042881011963,0.5481863021850586,0.5077493190765381,0.48194217681884766,0.47484660148620605,0.5051984786987305,0.4597456455230713,0.5092682838439941,0.4992105960845947,0.4944875240325928,0.4531269073486328,0.5166797637939453
Chrontext Optimized,Production Grouped 2,2.127182960510254,1.342857837677002,1.3913321495056152,1.31856369972229,1.379831075668335,1.3399035930633545,1.5490353107452393,1.3126120567321777,1.3533375263214111,1.2750990390777588,1.427095651626587,1.3541173934936523
Chrontext Optimized,Production Grouped 3,3.4494683742523193,2.269505739212036,2.1260602474212646,2.739854335784912,2.2285971641540527,1.9552013874053955,1.891289234161377,2.0103824138641357,1.9456994533538818,1.998701572418213,1.9616410732269287,1.9007022380828857
Chrontext Optimized,Production Grouped 4,9.648335695266724,5.957265615463257,5.538530111312866,5.402059555053711,6.133177995681763,5.869877576828003,5.440540075302124,5.5613908767700195,5.6595470905303955,5.275649309158325,5.27249813079834,7.789147138595581
Chrontext Optimized,Multi Grouped 1,2.120741605758667,1.5790295600891113,1.6036949157714844,1.6414389610290527,1.622375726699829,1.6242408752441406,1.6711885929107666,1.623772382736206,1.6806228160858154,1.5617520809173584,1.5855867862701416,1.539947748184204
Chrontext Optimized,Multi Grouped 2,2.536831855773926,1.8367640972137451,1.853165864944458,1.8399848937988281,1.748779058456421,1.7744145393371582,1.7710561752319336,1.6928510665893555,1.6875901222229004,1.6790215969085693,1.757673740386963,2.181377649307251
Chrontext Optimized,Multi Grouped 3,7.4927146434783936,5.096090078353882,5.094927072525024,5.0075719356536865,4.978790044784546,4.957886219024658,4.951654672622681,5.325899600982666,5.030784606933594,5.0838987827301025,4.945371389389038,5.054523944854736
Chrontext Optimized,Multi Grouped 4,33.63040852546692,29.60339117050171,29.71155285835266,28.109161615371704,29.02260160446167,29.01951265335083,29.483855962753296,29.814324378967285,27.294586658477783,29.586722135543823,28.804726600646973,29.988763093948364
Chrontext Optimized,Production 1,0.6353151798248291,0.42954540252685547,0.42859983444213867,0.44568538665771484,0.45811986923217773,0.40712451934814453,0.41542506217956543,0.42729759216308594,0.4072272777557373,0.4126276969909668,0.494976282119751,0.40080738067626953
Chrontext Optimized,Production 2,2.5755112171173096,2.2690577507019043,2.327345132827759,2.2339746952056885,2.1884026527404785,2.3241500854492188,2.225137710571289,2.292152166366577,2.4079244136810303,2.2516911029815674,2.332178831100464,2.2931618690490723
Chrontext Optimized,Production 3,6.957196474075317,6.532801389694214,6.545658588409424,6.519892454147339,6.543504476547241,6.470591068267822,6.4948554039001465,6.560745477676392,6.55229377746582,6.4887306690216064,6.596382141113281,6.53959321975708
Chrontext Optimized,Production 4,18.857964515686035,17.572230577468872,17.54685378074646,17.5225727558136,17.4779109954834,17.63492226600647,17.525372982025146,17.32721757888794,17.50799059867859,17.212430477142334,17.523579120635986,17.620596170425415

